patch_index,row,col,split,valid_pixels,change_pixels,no_change_pixels,builtup_pixels,veg_loss_pixels,veg_gain_pixels,other_pixels,change_fraction,builtup_fraction,mean_uncertainty_all,mean_uncertainty_change,mean_uncertainty_nochange,centroid_x,centroid_y
80,768,1280,train,65536,8129,57407,4080,99,3637,313,0.1240386962890625,0.062255859375,0.021311022341251373,0.06656389683485031,0.014903081580996513,76.87647454202246,28.870236264090003
81,768,1536,train,65536,9637,55899,5616,127,3762,132,0.1470489501953125,0.085693359375,0.034571267664432526,0.11457238346338272,0.020779060199856758,76.89947141329593,28.870236264090003
82,768,1792,train,65536,9198,56338,5548,183,3247,220,0.140350341796875,0.08465576171875,0.024968363344669342,0.0634944811463356,0.018678413704037666,76.92246828456939,28.870236264090003
83,768,2048,train,65536,10959,54577,6537,41,4308,73,0.1672210693359375,0.0997467041015625,0.030625969171524048,0.08317463845014572,0.020074255764484406,76.94546515584284,28.870236264090003
84,768,2304,train,65536,9975,55561,5302,7,4568,98,0.1522064208984375,0.080902099609375,0.021327011287212372,0.06158909946680069,0.014098664745688438,76.9684620271163,28.870236264090003
85,768,2560,train,65536,11447,54089,5244,12,6173,18,0.1746673583984375,0.08001708984375,0.029504165053367615,0.07850256562232971,0.01913449913263321,76.99145889838977,28.870236264090003
86,768,2816,train,65536,9696,55840,4515,122,5024,35,0.14794921875,0.0688934326171875,0.029254231601953506,0.07367266714572906,0.02154146134853363,77.01445576966323,28.870236264090003
87,768,3072,train,65536,9827,55709,4884,109,4794,40,0.1499481201171875,0.07452392578125,0.0365871861577034,0.09158496558666229,0.02688564360141754,77.03745264093668,28.870236264090003
88,768,3328,train,65536,9900,55636,4864,8,5020,8,0.15106201171875,0.07421875,0.025728264823555946,0.06716881692409515,0.01835423707962036,77.06044951221014,28.870236264090003
89,768,3584,train,65536,8623,56913,5158,167,2938,360,0.1315765380859375,0.078704833984375,0.026125729084014893,0.0697551965713501,0.019515343010425568,77.0834463834836,28.870236264090003
90,768,3840,train,65536,7526,58010,4332,242,2525,427,0.114837646484375,0.06610107421875,0.02187228389084339,0.06617923825979233,0.016124065965414047,77.10644325475707,28.870236264090003
91,768,4096,train,65536,8657,56879,4383,1183,1284,1807,0.1320953369140625,0.0668792724609375,0.0391794815659523,0.114928238093853,0.027650494128465652,77.12944012603053,28.870236264090003
92,768,4352,train,65536,8896,56640,4423,112,4272,89,0.1357421875,0.0674896240234375,0.0269758403301239,0.06055197864770889,0.021702298894524574,77.15243699730398,28.870236264090003
93,768,4608,train,65536,9697,55839,5349,128,3948,272,0.1479644775390625,0.0816192626953125,0.02167784608900547,0.06619907170534134,0.0139462910592556,77.17543386857744,28.870236264090003
94,768,4864,train,65536,10019,55517,6214,55,3488,262,0.1528778076171875,0.094818115234375,0.019073428586125374,0.0642075315117836,0.010928202420473099,77.1984307398509,28.870236264090003
95,768,5120,train,65536,10681,54855,6105,275,4138,163,0.1629791259765625,0.0931549072265625,0.026574909687042236,0.061356451362371445,0.019802480936050415,77.22142761112437,28.870236264090003
96,768,5376,train,65536,9768,55768,4709,76,4911,72,0.1490478515625,0.0718536376953125,0.027148578315973282,0.06050306186079979,0.021306397393345833,77.24442448239782,28.870236264090003
97,768,5632,train,65536,9957,55579,4947,35,4855,120,0.1519317626953125,0.0754852294921875,0.028215674683451653,0.0701981857419014,0.020694492384791374,77.26742135367128,28.870236264090003
98,768,5888,train,65536,8504,57032,4067,34,4295,108,0.1297607421875,0.0620574951171875,0.0228939987719059,0.06539978832006454,0.016555989161133766,77.29041822494474,28.870236264090003
99,768,6144,train,65536,10280,55256,5108,2,5089,81,0.1568603515625,0.07794189453125,0.02957051806151867,0.07583782076835632,0.020962806418538094,77.31341509621821,28.870236264090003
100,1024,0,train,65536,10152,55384,5050,160,4917,25,0.1549072265625,0.077056884765625,0.027742069214582443,0.07364694774150848,0.019327616319060326,76.76149018565516,28.847239392816544
101,1024,256,train,65536,9530,56006,5526,62,3922,20,0.145416259765625,0.084320068359375,0.04704106226563454,0.12283343821763992,0.03414421156048775,76.78448705692863,28.847239392816544
102,1024,512,train,65536,9104,56432,4451,47,4538,68,0.138916015625,0.0679168701171875,0.02778761088848114,0.08383690565824509,0.018745355308055878,76.80748392820209,28.847239392816544
